content,score,label,clean
buat iklannya agak maksa kita mau lewati malah masuk ke shope tolonglah jangan dipaksain gitu,2,negatif,buat iklannya maksa mau lewati malah masuk shope tolonglah jangan dipaksain gitu
"Saudaraku dari ibu yang berbeda, 😈 Aku harus bilang bahwa Tiki Tiki Phonk adalah pilihan terbaik yang benar-benar SEMPURNA 🔥🗿🍷 Saat bassnya mulai terdengar, aku sudah tahu editannya akan jadi gila 💀⚡ Beat agresif yang dipadukan dengan transisi membuat semuanya terasa jauh lebih halus, bersih, dan lebih intens secara keseluruhan 🎧🔥 Setiap ketukan beat sangat cocok dengan klipnya sehingga terasa sangat memuaskan untuk ditonton 👌🥂 Bass yang terdistorsi memberikan seluruh video suasana lege",1,negatif,saudaraku ibu berbeda  aku bilang tiki tiki phonk pilihan terbaik benarbenar sempurna  bassnya mulai terdengar aku tahu editannya jadi gila  beat agresif dipadukan transisi membuat semuanya terasa jauh lebih halus bersih lebih intens keseluruhan  ketukan beat sangat cocok klipnya terasa sangat memuaskan ditonton  bass terdistorsi memberikan seluruh video suasana lege
"murce murce, Dateng nya cepet lagi",5,positif,murce murce dateng nya cepet
bagus tapi saya harap ada voucher banyak☺️,5,positif,bagus saya harap voucher banyak
gtw jelek aja,1,negatif,gtw jelek aja
"saya kesini karnah game di blockzi, apa maksudnya setiap udah mau menang sengaja banget ngak di menangin udah mencapai level yang di tentukan tapi pas level terakhir sengaja banget ngak di menangin buang buang waktu saja kecewa sama Shopee sumpah",1,negatif,kesini karnah game blockzi apa maksudnya udah mau menang sengaja banget ngak menangin udah mencapai level tentukan pas level terakhir sengaja banget ngak di menangin buang buang waktu kecewa sama shopee sumpah
iklan maksa,1,negatif,iklan maksa
not good,1,negatif,not good
"tolong banget ini mah iklan shopee itu dimana mana, terus juga buat ilangin nih iklan malah masuk ke apk shopee ga logis, malah kaya pemaksaan gw tau lu mau terkenal tapi ga gini juga ribet tau ga,",1,negatif,banget mah iklan shopee dimana mana terus buat ilangin nih iklan malah masuk apk shopee ga logis malah kaya pemaksaan gw tau lu mau terkenal ga gini ribet tau ga
burik,1,negatif,burik
ok,5,positif,
"Ikutan yg lain,",1,negatif,ikutan yg
gw kena tipu disana harusnya bisa dibalikin barang nya tapi ga bisa,1,negatif,gw kena tipu disana harusnya dibalikin barang nya ga
"jangan maksa ya kalo kasih iklan, + sekarang klo buka apk Shopee kadang suka lemot, pdhal sinyal bgus",1,negatif,jangan maksa kalo kasih iklan  sekarang klo buka apk shopee kadang suka lemot pdhal sinyal bgus
"Tolong kepada pihak Shopee agar memperbaiki cara promosi aplikasi dengan baik dan benar. Karena setiap saya buka apapun aplikasi selalu ada iklan shopee, kalian aplikasi belanja online terbesar setelah lazada tapi kok etika berpromosi nya seperti itu? saya hanya ikut berpendapat karena ada mahasiswa yang kehilangan data yang kasih rating bintang 1 juga, dan saya setuju, shopee sangat menganggu plis perbaiki lagi teknik promosinya.",1,negatif,kepada pihak shopee memperbaiki cara promosi aplikasi baik benar setiap buka apapun aplikasi selalu iklan shopee kalian aplikasi belanja online terbesar lazada kok etika berpromosi nya itu hanya ikut berpendapat ada mahasiswa kehilangan data kasih rating bintang  dan setuju shopee sangat menganggu plis perbaiki teknik promosinya
lambat,1,negatif,lambat
tolong kalo mau promosi iklan lebih ngotak lagi ya,1,negatif,kalo mau promosi iklan lebih ngotak ya
jangan pernah paylater,1,negatif,jangan pernah paylater
well well well,1,negatif,well well well
